start,end,speed_mean,speed_max,jitter_mean,jitter_p90,rot_abs_mean,zoom,sharp_mean,sharp_min,bright,contrast,framediff,ntrack
175.0,176.0,15.26,19.76,2.502,4.55,0.642,1.186,10.7,3.0,132.8,24.0,1.78,59
176.0,177.0,10.44,13.94,0.765,1.274,0.295,1.0263,143.7,45.4,131.6,42.0,9.02,195
177.0,178.0,6.09,9.77,0.729,1.412,0.186,1.1031,148.9,127.8,119.2,54.4,8.8,283
178.0,179.0,9.88,13.71,0.507,1.024,0.263,1.3063,85.4,36.5,113.2,48.8,9.62,162
179.0,180.0,13.91,19.1,4.375,7.626,0.438,0.8334,6.6,2.4,113.5,23.5,1.85,41
180.0,181.0,16.65,19.84,2.488,4.762,0.494,0.9953,11.0,5.0,132.4,28.2,2.53,41
181.0,182.0,13.52,14.84,0.879,1.608,0.268,1.0016,19.2,9.3,133.5,31.7,4.41,27
182.0,183.0,17.43,31.78,3.85,6.826,0.465,0.9985,4.1,3.6,144.4,36.2,2.21,78
183.0,184.0,17.37,26.68,2.766,3.81,0.504,0.9569,4.1,3.5,130.4,35.9,1.81,75
184.0,185.0,24.34,37.23,4.942,8.269,0.693,0.9707,4.0,2.8,134.9,35.9,2.4,58
185.0,186.0,27.4,38.36,3.753,5.701,0.727,1.0648,11.0,2.5,125.0,33.6,4.98,58
186.0,187.0,37.21,49.01,8.533,15.213,1.11,1.1769,4.8,1.2,130.7,27.3,3.22,55
187.0,188.0,10.59,33.99,6.465,14.741,0.196,1.2552,149.4,0.9,153.9,41.4,10.56,208
188.0,189.0,2.08,5.75,0.908,2.526,0.132,1.1401,793.2,260.1,135.4,67.6,7.43,343
189.0,190.0,0.22,0.66,0.14,0.325,0.008,0.9982,1120.0,974.6,131.2,54.5,4.18,258
190.0,191.0,1.49,5.69,1.098,2.565,0.175,0.977,121.4,68.2,107.7,63.0,4.59,256
191.0,192.0,3.74,6.23,1.361,2.5,0.169,1.0929,135.0,79.7,113.0,68.7,7.76,274
192.0,193.0,2.18,4.82,1.137,1.911,0.096,1.0886,238.1,202.9,112.4,73.2,8.97,263
193.0,194.0,1.89,3.74,0.678,1.316,0.064,1.0578,341.8,241.9,104.7,74.0,8.05,320
194.0,195.0,6.13,8.53,0.228,0.333,0.179,0.9999,431.6,359.7,121.9,70.8,11.94,360
195.0,196.0,15.89,22.79,1.056,2.107,0.27,1.1541,456.9,301.0,109.1,70.6,20.72,343
196.0,197.0,13.23,21.5,1.264,2.538,0.13,0.9784,278.6,210.7,85.1,63.1,17.99,301
197.0,198.0,10.67,12.24,0.915,1.444,0.034,1.1035,193.3,169.5,95.9,68.7,12.53,299
198.0,199.0,11.76,13.87,1.286,2.087,0.057,1.051,133.4,68.7,75.9,62.4,15.06,208
199.0,200.0,8.67,14.62,1.29,2.464,0.165,1.0941,85.0,59.8,88.3,45.7,11.76,229
200.0,201.0,4.06,8.13,0.848,1.313,0.046,1.369,124.8,81.8,110.6,40.8,7.87,375
201.0,202.0,6.82,15.85,1.566,2.624,0.116,1.4968,88.0,71.3,115.7,43.6,9.22,226
202.0,203.0,8.47,18.74,2.902,6.265,0.115,1.4557,97.1,24.6,106.9,37.2,6.64,81
203.0,204.0,4.76,12.53,3.834,7.366,0.055,1.2063,78.9,9.7,122.0,33.9,2.64,54
