frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
72,2.406,-6.128,0.064,-0.1508,1.0008,182,4.674,74.89,135.06,44.31
73,2.439,-6.192,0.075,-0.1645,1.0009,185,4.632,73.83,135.12,44.36
74,2.473,-6.164,-0.064,-0.1533,1.0009,179,4.618,71.75,135.13,44.35
75,2.506,-6.173,-0.302,-0.1532,1.0012,183,4.783,73.89,135.08,44.45
76,2.54,-6.031,-0.335,-0.1477,1.0014,169,4.629,72.54,134.94,44.48
77,2.573,-5.719,-0.399,-0.1245,1.0011,176,4.662,72.65,134.75,44.53
78,2.606,-5.663,-0.502,-0.1416,1.0014,169,4.493,72.56,134.56,44.56
79,2.64,-5.368,-0.477,-0.1262,1.001,166,4.442,74.08,134.42,44.58
80,2.673,-5.316,-0.366,-0.1426,1.001,178,4.405,77.19,134.29,44.63
81,2.707,-4.954,-0.482,-0.1269,1.0013,172,4.192,79.86,134.06,44.63
82,2.74,-4.896,-0.588,-0.1168,1.0014,171,4.3,80.3,133.76,44.71
83,2.774,-4.784,-0.595,-0.1166,1.0013,185,4.234,82.21,133.57,44.79
84,2.807,-4.97,-0.55,-0.1495,1.0015,191,4.284,84.46,133.34,44.85
85,2.84,-4.827,-0.435,-0.1373,1.0011,183,4.439,83.29,133.19,44.98
86,2.874,-5.056,-0.696,-0.1415,1.0016,185,4.54,85.29,132.93,45.03
87,2.907,-4.957,-0.535,-0.1285,1.0012,189,4.743,87.51,132.67,45.04
88,2.941,-5.057,-0.734,-0.1373,1.0016,182,4.904,87.47,132.49,45.13
89,2.974,-5.398,-0.887,-0.151,1.0023,192,5.058,93.51,132.16,45.13
90,3.007,-5.523,-1.009,-0.1416,1.0026,196,5.408,93.88,132.0,45.28
91,3.041,-5.616,-0.97,-0.148,1.0026,195,5.381,96.66,131.61,45.23
92,3.074,-5.654,-0.723,-0.1597,1.0023,192,5.475,93.43,131.29,45.18
93,3.108,-5.755,-0.735,-0.1496,1.0026,200,5.559,93.15,131.21,45.23
94,3.141,-5.891,-0.578,-0.1635,1.0022,193,5.739,100.24,131.21,45.22
95,3.174,-5.793,-0.693,-0.1504,1.0024,202,5.755,106.58,131.33,45.23
