frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
1402,46.849,-10.54,-1.018,-0.3206,1.0032,98,8.015,72.46,125.23,48.57
1403,46.882,-10.191,-1.026,-0.2747,1.0028,101,7.791,69.89,126.01,48.48
1404,46.916,-9.989,-1.32,-0.2429,1.0032,95,7.398,67.83,126.5,48.33
1405,46.949,-10.085,-0.262,-0.2904,1.0013,90,7.049,70.57,127.39,48.29
1406,46.982,-9.654,-0.338,-0.2481,1.0013,94,6.691,73.34,128.33,48.04
1407,47.016,-9.803,-1.485,-0.2265,1.0036,100,6.622,74.68,129.24,47.69
1408,47.049,-9.477,-1.44,-0.1914,1.0033,96,6.551,75.34,130.0,47.4
1409,47.083,-9.757,-1.435,-0.2194,1.0036,97,6.411,68.53,131.09,47.19
1410,47.116,-9.738,-1.54,-0.1928,1.0038,96,6.333,69.86,131.8,47.21
1411,47.15,-9.83,-1.59,-0.1923,1.004,93,6.02,62.18,132.23,47.14
1412,47.183,-9.598,-0.757,-0.1781,1.0023,88,5.961,54.32,132.5,47.14
1413,47.216,-9.875,-0.425,-0.2007,1.0021,76,5.953,51.7,132.96,47.16
1414,47.25,-10.38,-1.285,-0.2349,1.0041,67,5.683,48.92,133.65,47.15
1415,47.283,-10.1,0.062,-0.2193,1.0016,67,5.275,45.32,134.44,47.2
1416,47.317,-9.861,-0.279,-0.1798,1.0021,62,4.897,42.06,135.3,47.13
1417,47.35,-9.724,0.124,-0.1815,1.0014,48,4.622,36.81,136.11,47.02
1418,47.383,-10.401,0.29,-0.2495,1.0012,50,4.391,34.86,137.0,46.7
1419,47.417,-9.409,-0.82,-0.1399,1.0029,52,4.181,36.57,137.79,46.56
1420,47.45,-9.359,-0.746,-0.1504,1.0026,47,4.126,34.89,138.84,46.19
1421,47.484,-9.333,-0.111,-0.1705,1.0012,55,4.169,31.54,139.84,45.79
1422,47.517,-9.55,-0.658,-0.1896,1.0023,49,4.077,31.97,140.72,45.44
1423,47.551,-9.406,-0.928,-0.169,1.0028,42,3.991,30.44,141.52,45.17
1424,47.584,-9.077,-0.522,-0.1618,1.002,34,3.935,28.23,142.43,44.83
1425,47.617,-9.003,-0.811,-0.1471,1.0025,34,3.772,27.45,143.32,44.3
1426,47.651,-8.887,-1.027,-0.1483,1.0027,36,3.771,24.41,144.29,43.69
1427,47.684,-8.99,-1.11,-0.1763,1.003,35,3.712,23.9,145.11,43.21
1428,47.718,-8.533,-1.069,-0.1644,1.0028,34,3.559,21.74,145.9,42.61
1429,47.751,-7.404,-0.277,-0.0839,1.0012,40,3.222,20.58,146.71,41.94
1430,47.784,-7.554,-0.59,-0.1098,1.0019,35,3.11,18.75,147.54,41.39
1431,47.818,-7.611,-0.592,-0.1308,1.0021,37,3.25,18.01,148.17,40.94
1432,47.851,-7.295,-1.105,-0.1047,1.0028,32,3.168,17.91,148.83,40.32
1433,47.885,-7.427,-0.983,-0.136,1.0027,30,3.216,17.21,149.68,39.58
1434,47.918,-7.721,-1.082,-0.1696,1.0027,28,3.084,15.02,150.41,38.85
1435,47.952,-6.779,-0.227,-0.099,1.001,31,2.756,14.9,150.99,38.06
1436,47.985,-6.441,-3.999,-0.0463,1.0079,28,2.602,14.45,151.38,37.39
1437,48.018,-6.076,1.549,-0.0693,0.9976,31,2.967,14.88,151.38,36.87
1438,48.052,-6.232,0.419,-0.0923,0.999,27,2.225,13.99,151.44,36.51
1439,48.085,-6.764,0.56,-0.1638,0.9989,24,2.231,14.03,151.35,36.25
1440,48.119,-6.208,0.02,-0.1255,0.9998,21,2.922,14.75,150.13,35.91
1441,48.152,-5.112,0.06,-0.0396,0.999,21,2.498,16.84,149.33,35.56
1442,48.185,-4.606,-0.031,-0.023,0.9989,13,2.078,15.98,148.85,35.46
1443,48.219,-4.191,-0.708,-0.0733,1.0,11,2.155,16.32,148.16,35.44
1444,48.252,-3.978,-0.802,-0.171,1.0,11,2.25,15.59,147.09,35.69
1445,48.286,-3.382,1.268,-0.0402,0.9962,12,2.032,14.68,146.16,35.68
1446,48.319,-3.341,-0.848,-0.0337,1.0,11,1.716,15.28,145.49,35.82
1447,48.353,-2.271,1.322,-0.0311,0.9963,14,1.585,15.13,144.91,35.89
1448,48.386,-1.696,-0.674,0.0,1.0,0,1.44,15.43,144.35,35.94
1449,48.419,-1.183,-0.581,0.0,1.0,0,1.145,13.94,143.83,35.9
1450,48.453,-0.619,-0.576,0.0,1.0,0,0.669,13.82,143.57,35.92
1451,48.486,0.258,-0.117,0.0322,0.9987,12,0.303,13.85,143.5,35.94
1452,48.52,0.756,0.401,-0.0059,0.9981,13,0.306,13.19,143.43,35.96
1453,48.553,1.248,-0.368,0.0,1.0,0,0.735,13.61,143.31,35.99
1454,48.586,1.971,-0.305,0.0153,1.0,11,1.009,19.44,143.09,36.06
1455,48.62,3.37,-0.181,0.0429,1.0,10,1.233,19.72,142.95,36.12
1456,48.653,4.922,-0.575,0.1164,0.9995,13,1.377,18.15,142.76,36.12
1457,48.687,5.943,-1.104,0.1394,1.0005,17,1.522,17.79,142.58,36.15
1458,48.72,6.54,0.183,0.1323,0.9988,21,1.819,18.22,142.29,36.2
1459,48.753,7.333,0.584,0.1327,0.9977,20,2.042,17.56,141.91,36.54
1460,48.787,7.896,0.045,0.1657,0.9991,26,2.397,15.69,141.5,36.94
1461,48.82,8.359,-0.228,0.1714,0.9995,26,2.45,11.92,141.06,37.33
1462,48.854,8.635,-0.518,0.176,0.9998,29,2.579,11.53,140.47,37.84
1463,48.887,8.68,-0.167,0.1548,0.9995,28,2.791,12.41,139.81,38.45
1464,48.921,8.505,1.578,0.1097,0.9963,29,2.984,13.38,138.98,39.11
1465,48.954,8.444,2.064,0.0799,0.9955,31,2.942,14.04,138.09,39.81
1466,48.987,9.206,2.285,0.1438,0.9949,28,3.137,14.82,137.25,40.4
1467,49.021,9.044,1.762,0.1302,0.9963,30,3.043,14.82,136.44,40.95
1468,49.054,9.173,0.001,0.1528,0.9996,35,3.015,15.03,135.58,41.51
1469,49.088,8.811,0.271,0.1275,0.9994,37,3.07,18.69,134.63,42.07
1470,49.121,8.58,1.442,0.0928,0.9975,44,2.965,19.8,133.72,42.53
1471,49.154,8.428,2.34,0.0782,0.996,43,3.222,20.93,132.99,43.06
1472,49.188,8.178,0.818,0.0957,0.9989,42,3.027,21.44,132.19,43.35
1473,49.221,8.755,1.575,0.1451,0.9973,46,3.104,22.79,131.5,43.65
1474,49.255,8.388,1.818,0.1268,0.997,46,3.428,26.76,131.28,44.06
1475,49.288,8.184,1.661,0.1247,0.9973,41,3.507,27.47,131.3,44.49
1476,49.322,8.227,1.405,0.1452,0.9977,45,3.474,28.36,131.28,44.82
1477,49.355,7.832,1.219,0.1093,0.9981,45,3.422,33.59,131.19,45.1
1478,49.388,7.84,0.833,0.138,0.9989,48,3.717,32.61,131.48,45.39
1479,49.422,7.469,0.979,0.0958,0.9988,49,3.788,33.98,131.77,45.77
1480,49.455,7.59,0.791,0.1019,0.999,57,3.815,39.61,131.63,46.18
1481,49.489,7.847,1.052,0.1196,0.9985,56,4.062,38.16,131.37,46.46
1482,49.522,8.074,0.696,0.139,0.9991,60,4.215,41.8,131.09,46.64
1483,49.555,8.15,0.577,0.1343,0.9991,59,4.407,39.69,130.68,46.72
1484,49.589,8.479,0.556,0.149,0.9991,67,4.868,48.68,130.59,46.9
1485,49.622,8.568,0.533,0.1453,0.9992,75,5.234,52.65,130.57,47.16
1486,49.656,8.637,0.359,0.1394,0.9994,78,5.555,55.63,130.84,47.38
1487,49.689,8.692,0.45,0.1334,0.9993,80,5.717,64.5,131.12,47.57
1488,49.723,8.911,0.413,0.1422,0.9994,86,5.803,69.99,131.23,47.7
1489,49.756,9.012,0.402,0.1383,0.9993,93,5.922,72.34,131.21,47.83
1490,49.789,9.477,0.664,0.1425,0.9985,99,6.236,71.94,131.21,48.02
1491,49.823,9.952,0.471,0.1474,0.9988,109,6.474,80.95,130.97,48.09
1492,49.856,10.157,0.759,0.135,0.9982,102,6.87,88.53,130.57,48.25
1493,49.89,10.702,0.589,0.1511,0.9985,106,7.372,91.97,130.13,48.44
1494,49.923,11.135,0.721,0.1637,0.998,106,7.846,91.01,129.5,48.81
1495,49.956,11.444,0.15,0.1725,0.9991,87,8.142,79.12,128.65,49.03
1496,49.99,11.734,0.02,0.1793,0.9992,85,8.349,69.88,127.59,49.24
1497,50.023,12.006,0.104,0.1697,0.9991,87,8.718,74.82,126.77,49.5
1498,50.057,12.308,-0.289,0.1952,0.9998,84,8.672,79.72,125.95,49.74
1499,50.09,12.55,-0.565,0.2119,1.0002,85,9.134,85.62,125.15,49.93
1500,50.124,12.542,-0.932,0.217,1.0008,81,9.557,87.46,124.44,50.07
1501,50.157,12.547,-0.985,0.2039,1.001,84,9.712,87.83,123.52,50.1
1502,50.19,12.503,-1.722,0.2266,1.0021,84,9.812,71.08,122.55,49.95
1503,50.224,12.278,-2.656,0.2365,1.0037,78,9.844,66.19,121.61,49.79
1504,50.257,12.36,-2.437,0.227,1.0032,77,9.96,62.32,120.56,49.5
1505,50.291,12.35,-3.505,0.2593,1.0051,78,10.164,65.28,119.84,49.15
1506,50.324,12.221,-4.075,0.2655,1.0061,75,10.171,65.97,118.76,48.81
1507,50.357,12.111,-4.444,0.2718,1.0068,79,10.252,68.88,117.63,48.45
1508,50.391,11.852,-3.831,0.2261,1.0062,82,10.316,71.61,116.54,48.14
1509,50.424,11.819,-4.126,0.2332,1.0068,82,10.565,77.38,115.97,47.94
1510,50.458,12.915,-3.551,0.2889,1.0052,89,11.096,77.33,116.95,48.1
1511,50.491,11.998,-3.778,0.2386,1.0064,88,10.801,81.29,117.69,48.8
1512,50.525,11.295,-4.562,0.2208,1.0085,80,10.741,90.02,120.04,49.61
1513,50.558,10.277,-8.534,0.3365,1.0148,70,9.791,96.18,122.87,50.21
1514,50.591,12.188,-3.271,0.2462,1.006,82,9.688,99.07,125.77,50.49
1515,50.625,13.141,-2.595,0.2953,1.0042,72,9.55,96.85,128.39,50.66
1516,50.658,12.8,-3.383,0.2907,1.0063,68,9.597,89.89,130.94,50.73
1517,50.692,12.531,-3.72,0.2806,1.0077,72,9.574,98.88,133.47,50.69
1518,50.725,12.523,-3.605,0.2737,1.0077,73,9.486,106.29,135.79,50.73
1519,50.758,12.281,-4.346,0.27,1.0092,80,9.606,108.29,137.66,50.7
1520,50.792,12.568,-4.102,0.2784,1.0084,79,9.714,101.75,138.35,50.63
1521,50.825,11.645,-4.73,0.2309,1.0104,75,9.382,78.01,139.16,50.58
1522,50.859,12.46,-4.656,0.282,1.0092,72,9.573,93.57,139.32,50.33
1523,50.892,11.866,-4.66,0.2285,1.0101,75,9.645,106.14,139.74,50.02
1524,50.926,11.38,-4.262,0.1815,1.0101,71,8.812,107.87,140.14,49.91
1525,50.959,11.79,-4.206,0.1855,1.0086,37,8.151,110.82,141.18,49.49
1526,50.992,13.665,-4.119,0.3316,1.0062,48,7.648,94.37,141.56,49.6
1527,51.026,12.746,-4.901,0.328,1.0081,44,6.812,84.66,141.82,50.03
1528,51.059,13.309,-3.832,0.2842,1.0058,42,6.599,71.44,142.56,50.55
1529,51.093,13.585,-4.551,0.3594,1.0067,39,6.645,67.12,141.85,51.38
1530,51.126,13.416,-2.838,0.2707,1.0043,35,6.608,57.53,141.92,52.23
1531,51.159,12.647,-4.156,0.3021,1.0066,38,6.748,57.8,141.65,52.82
1532,51.193,12.336,-3.763,0.2729,1.0062,41,6.526,62.3,142.12,53.38
1533,51.226,12.748,-2.557,0.239,1.0036,35,6.212,64.1,142.96,53.7
1534,51.26,12.94,-2.661,0.2832,1.0038,38,5.882,60.19,143.43,54.09
1535,51.293,12.458,-3.904,0.3395,1.0061,84,5.883,67.24,143.97,54.3
1536,51.327,12.348,-5.049,0.3394,1.0078,79,6.08,72.59,144.67,54.26
1537,51.36,12.034,-5.465,0.3285,1.0091,72,6.311,70.95,145.24,54.2
1538,51.393,12.208,-4.696,0.3196,1.008,88,6.278,66.91,145.77,53.92
1539,51.427,11.456,-5.411,0.2867,1.0094,64,6.391,74.13,146.11,53.49
1540,51.46,11.14,-4.002,0.1908,1.0085,67,6.571,98.93,146.42,53.13
1541,51.494,11.556,-4.249,0.2152,1.0081,81,6.626,99.02,147.18,52.65
1542,51.527,11.877,-4.221,0.247,1.0084,58,7.531,104.28,147.42,52.58
1543,51.56,12.457,-3.336,0.2532,1.0055,73,7.071,108.27,149.3,51.64
1544,51.594,12.072,-2.849,0.1803,1.0051,52,7.259,124.87,149.87,50.86
1545,51.627,12.008,-3.368,0.2068,1.0068,60,7.407,129.86,150.62,49.66
1546,51.661,12.504,-3.221,0.2689,1.0069,44,7.794,129.62,151.37,48.46
1547,51.694,11.552,-1.482,0.099,1.0032,52,7.865,133.13,151.94,47.07
1548,51.727,13.251,-1.344,0.2385,1.0025,43,8.193,154.12,151.67,46.08
1549,51.761,12.485,-1.117,0.1179,1.0021,62,8.239,170.44,150.9,46.34
1550,51.794,13.308,-1.317,0.1844,1.0019,58,9.059,179.37,149.82,47.33
1551,51.828,12.778,-1.187,0.1253,1.0018,66,9.629,172.73,148.19,47.81
1552,51.861,14.039,-0.639,0.2486,1.0006,102,10.451,182.44,147.77,47.76
1553,51.895,13.753,-0.333,0.1939,1.0,118,10.686,216.26,146.61,47.72
1554,51.928,13.588,-0.425,0.2044,1.0002,147,10.851,235.1,145.74,47.73
1555,51.961,13.382,-1.005,0.1708,1.0009,164,11.09,218.18,145.69,47.69
1556,51.995,13.752,-1.227,0.204,1.0013,131,12.411,300.79,143.89,48.07
1557,52.028,13.896,-0.855,0.2298,1.0002,146,11.489,288.25,143.28,48.33
1558,52.062,13.844,-1.022,0.2465,1.0005,161,11.911,261.59,142.93,48.48
1559,52.095,13.539,-2.112,0.2411,1.0026,193,12.38,257.58,143.02,48.56
1560,52.128,13.665,-2.695,0.2749,1.0032,160,12.665,248.66,142.98,48.66
1561,52.162,13.773,-1.332,0.2807,1.0008,209,13.278,251.4,143.18,48.82
1562,52.195,14.086,-1.873,0.3108,1.0015,227,13.748,260.85,143.44,49.1
1563,52.229,14.222,-2.117,0.3348,1.0018,263,13.988,261.8,143.71,49.35
1564,52.262,14.039,-1.719,0.3159,1.001,253,14.388,268.06,144.13,49.59
1565,52.296,12.957,-2.87,0.2736,1.0035,241,14.952,292.85,144.08,50.08
1566,52.329,14.026,-1.945,0.3438,1.0015,234,15.494,329.17,143.8,50.92
1567,52.362,12.962,-1.872,0.2648,1.0013,255,16.065,363.17,143.2,52.12
1568,52.396,12.489,-2.095,0.2501,1.0023,299,16.397,361.8,141.9,53.52
1569,52.429,12.125,-1.603,0.2394,1.0015,294,16.699,384.15,140.03,55.0
1570,52.463,12.004,-1.925,0.2476,1.0022,325,17.066,420.55,138.5,56.45
1571,52.496,11.975,-2.117,0.2672,1.0029,332,17.392,423.04,137.29,57.63
1572,52.529,11.355,-1.818,0.2208,1.0025,307,17.483,423.36,135.85,58.63
1573,52.563,10.699,-2.3,0.2251,1.0042,318,17.905,429.25,134.77,59.57
1574,52.596,10.298,-2.817,0.2043,1.0058,329,18.449,460.53,133.71,60.25
1575,52.63,10.328,-2.769,0.2094,1.0061,333,19.08,482.27,132.85,61.0
1576,52.663,10.191,-2.675,0.2036,1.0059,322,19.387,479.61,131.99,61.66
1577,52.697,10.356,-2.188,0.177,1.0041,302,19.458,469.42,131.31,62.19
1578,52.73,11.26,-1.773,0.2438,1.0028,268,19.763,461.71,130.76,62.81
1579,52.763,10.99,-1.974,0.2307,1.0032,329,20.056,478.73,130.09,63.46
1580,52.797,11.383,-1.869,0.2591,1.003,304,20.95,499.29,129.44,64.12
1581,52.83,10.647,-2.845,0.2174,1.0048,295,21.762,484.68,129.0,64.66
1582,52.864,11.178,-1.872,0.1946,1.0025,313,22.738,483.25,127.98,65.12
1583,52.897,11.482,-2.082,0.2378,1.003,338,23.029,523.08,127.07,65.62
1584,52.93,11.828,-1.831,0.2657,1.0024,335,23.523,509.24,126.48,66.19
1585,52.964,11.112,-2.592,0.2371,1.0037,319,23.895,500.85,125.71,66.76
1586,52.997,10.664,-3.288,0.2537,1.0056,300,24.203,483.75,124.9,67.37
1587,53.031,10.328,-2.367,0.1978,1.0037,325,24.359,494.72,124.02,68.0
1588,53.064,9.796,-2.082,0.1823,1.0031,307,24.076,495.31,123.39,68.65
1589,53.098,8.919,-3.404,0.2165,1.0061,296,23.545,487.69,123.46,68.96
1590,53.131,8.665,-3.363,0.22,1.0063,326,22.77,476.71,124.02,68.81
1591,53.164,8.107,-3.324,0.2003,1.0063,339,21.865,479.91,125.43,68.49
1592,53.198,6.754,-3.96,0.1705,1.0082,283,20.997,499.23,126.44,68.48
1593,53.231,6.815,-3.307,0.1499,1.0069,344,20.11,492.02,127.34,68.68
1594,53.265,6.724,-3.648,0.1722,1.0077,355,19.345,466.63,128.03,68.99
1595,53.298,5.847,-3.808,0.1374,1.0087,357,18.867,474.69,128.1,69.37
1596,53.331,6.094,-3.686,0.1634,1.0079,287,19.003,531.12,127.8,69.87
1597,53.365,5.464,-4.039,0.1363,1.0095,339,19.052,507.31,127.97,70.33
1598,53.398,5.458,-3.876,0.1328,1.0096,336,18.665,491.45,128.17,70.75
1599,53.432,4.981,-3.876,0.118,1.0103,305,18.454,469.78,128.36,71.19
1600,53.465,4.609,-4.192,0.1154,1.0114,335,18.415,493.07,128.38,71.63
1601,53.499,4.139,-4.195,0.0988,1.0114,322,18.355,517.01,128.14,72.18
1602,53.532,3.67,-4.614,0.111,1.0122,314,17.974,486.58,128.55,72.65
1603,53.565,4.257,-4.008,0.102,1.0099,319,18.014,456.43,128.91,73.1
1604,53.599,4.17,-4.263,0.1133,1.0104,337,17.656,458.02,129.22,73.64
1605,53.632,4.371,-4.266,0.1298,1.0098,343,17.849,491.05,129.21,74.24
1606,53.666,4.504,-3.952,0.1183,1.0091,348,17.69,455.77,129.8,74.57
1607,53.699,4.648,-3.724,0.1201,1.0082,323,17.469,418.04,130.81,74.85
1608,53.732,4.51,-4.059,0.1344,1.009,350,17.12,418.95,131.46,75.04
1609,53.766,4.741,-3.781,0.13,1.0079,334,17.51,462.08,131.5,75.4
1610,53.799,4.852,-3.577,0.115,1.0074,320,17.739,439.61,131.86,75.78
1611,53.833,5.091,-3.1,0.1207,1.0064,319,17.355,409.2,132.39,75.95
1612,53.866,4.693,-3.395,0.1125,1.0072,320,16.993,377.34,132.72,76.17
1613,53.9,5.1,-3.671,0.1671,1.0075,346,16.617,383.65,132.82,76.34
1614,53.933,4.378,-3.516,0.1224,1.0071,330,16.267,416.0,132.59,76.62
1615,53.966,4.346,-3.6,0.1287,1.0069,332,15.939,412.52,132.75,76.8
1616,54.0,4.262,-3.862,0.1498,1.0075,307,16.929,534.64,131.17,76.82
1617,54.033,4.375,-2.75,0.1004,1.005,283,14.496,464.04,131.67,77.01
1618,54.067,4.245,-3.808,0.1645,1.0073,336,14.335,439.52,131.84,77.18
1619,54.1,4.045,-3.842,0.1631,1.0073,331,14.128,417.05,131.86,77.35
1620,54.133,4.195,-3.418,0.1432,1.0062,297,13.695,375.59,132.07,77.45
1621,54.167,4.621,-4.543,0.229,1.008,298,13.52,366.56,131.93,77.58
1622,54.2,3.972,-4.457,0.2001,1.0081,337,13.379,383.54,131.46,77.81
1623,54.234,3.751,-4.736,0.188,1.0085,308,13.136,342.01,131.06,78.0
1624,54.267,4.421,-4.692,0.24,1.0084,350,12.71,305.7,130.5,78.18
1625,54.301,3.553,-4.574,0.1865,1.0086,317,12.031,291.49,130.15,78.28
1626,54.334,3.108,-4.936,0.1993,1.0096,322,11.292,313.67,129.94,78.18
1627,54.367,2.597,-4.832,0.191,1.0097,341,10.647,322.04,129.86,78.12
1628,54.401,2.165,-4.699,0.1757,1.0098,346,10.027,292.1,130.15,78.0
1629,54.434,1.184,-5.206,0.1711,1.011,328,9.134,275.17,130.56,77.9
1630,54.468,1.81,-4.12,0.187,1.0086,300,8.432,298.82,130.71,77.78
1631,54.501,1.476,-4.822,0.2217,1.01,382,8.13,322.88,130.73,77.74
1632,54.534,1.07,-4.571,0.1893,1.0094,360,7.655,301.41,130.74,77.54
1633,54.568,1.493,-4.066,0.1929,1.008,394,7.231,283.03,130.86,77.55
1634,54.601,1.619,-3.36,0.1655,1.0065,383,7.476,294.94,130.56,77.56
1635,54.635,1.571,-3.395,0.1503,1.0067,396,8.105,381.58,129.85,77.6
1636,54.668,1.489,-3.201,0.1281,1.0065,397,7.79,348.17,130.19,77.42
1637,54.701,1.382,-3.143,0.1247,1.0063,397,7.633,322.93,130.59,77.14
1638,54.735,1.59,-2.897,0.1246,1.0056,394,7.439,308.08,130.9,76.96
1639,54.768,1.513,-2.29,0.0913,1.0046,398,7.673,349.32,130.54,76.71
1640,54.802,1.539,-2.185,0.0803,1.0043,378,8.247,418.58,129.84,76.64
1641,54.835,1.376,-2.062,0.057,1.0042,398,8.246,387.44,129.88,76.08
1642,54.869,1.53,-2.261,0.0814,1.0043,399,7.843,363.65,130.29,75.82
1643,54.902,1.44,-2.061,0.0648,1.004,399,8.069,392.84,130.07,75.72
1644,54.935,1.21,-1.962,0.0448,1.004,400,8.334,457.98,129.82,75.46
1645,54.969,1.002,-2.07,0.0407,1.0043,400,8.125,455.8,130.1,75.23
1646,55.002,0.952,-1.961,0.0352,1.0039,398,7.642,427.9,130.63,74.96
1647,55.036,1.068,-1.785,0.0324,1.0034,400,7.701,438.73,130.91,74.78
1648,55.069,0.908,-1.605,0.021,1.0033,400,7.729,493.92,130.87,74.51
1649,55.102,0.7,-1.7,0.0162,1.0035,397,7.053,461.12,131.45,74.21
1650,55.136,0.439,-1.773,0.0153,1.0037,397,6.804,438.32,132.02,73.9
1651,55.169,0.28,-1.889,0.0186,1.004,400,6.7,429.98,132.54,73.59
1652,55.203,0.057,-1.894,0.0149,1.0041,399,6.839,497.14,132.51,73.29
1653,55.236,-0.004,-1.982,0.007,1.0043,392,7.111,524.8,132.76,72.96
1654,55.27,-0.227,-2.136,-0.0021,1.0049,397,7.185,498.58,133.47,72.66
1655,55.303,-0.61,-1.998,-0.0301,1.005,378,7.25,487.54,134.2,72.3
1656,55.336,-0.708,-2.105,-0.0353,1.0053,386,7.777,541.13,134.37,72.0
1657,55.37,-0.933,-2.195,-0.0412,1.0057,376,8.374,673.16,134.15,71.63
1658,55.403,-1.029,-2.028,-0.052,1.0056,378,8.091,646.98,134.65,71.27
1659,55.437,-1.277,-2.154,-0.0581,1.006,376,8.18,617.75,135.27,70.92
1660,55.47,-1.144,-1.98,-0.0484,1.0057,377,8.509,681.93,135.25,70.61
1661,55.503,-1.295,-1.99,-0.0561,1.006,378,8.797,733.55,135.25,70.26
1662,55.537,-1.525,-1.927,-0.0693,1.0061,376,8.619,679.28,135.79,69.9
1663,55.57,-1.57,-1.882,-0.0759,1.0062,382,8.708,662.9,136.07,69.52
1664,55.604,-1.625,-1.975,-0.0785,1.0065,383,9.097,689.17,135.93,69.2
1665,55.637,-1.538,-2.091,-0.0726,1.0067,358,10.3,1017.94,134.6,68.94
1666,55.671,-1.913,-2.009,-0.0992,1.0069,374,10.219,925.47,134.69,68.77
1667,55.704,-2.087,-2.118,-0.1069,1.0074,377,9.96,828.01,134.91,68.58
1668,55.737,-2.723,-1.934,-0.1537,1.0078,331,10.025,760.72,135.01,68.49
1669,55.771,-2.791,-2.266,-0.143,1.0088,376,10.238,779.55,134.37,68.52
1670,55.804,-2.618,-3.128,-0.1059,1.0101,348,10.899,944.72,132.87,68.51
1671,55.838,-3.972,-1.878,-0.2214,1.0098,318,11.048,871.34,132.34,68.57
1672,55.871,-3.471,-2.178,-0.1794,1.0102,375,11.421,796.69,131.9,68.68
1673,55.904,-3.988,-1.305,-0.246,1.0097,338,11.646,754.11,131.3,68.7
1674,55.938,-3.837,-0.925,-0.2526,1.0093,321,12.495,867.53,129.8,68.85
1675,55.971,-2.641,-1.95,-0.1365,1.0094,371,12.342,808.01,129.17,68.89
1676,56.005,-2.562,-2.338,-0.1176,1.0099,375,14.357,1154.18,125.45,68.58
1677,56.038,-3.168,-1.376,-0.1717,1.0088,355,10.853,973.48,125.14,68.55
1678,56.072,-2.846,-2.039,-0.1326,1.0091,381,10.704,878.93,124.9,68.59
1679,56.105,-2.152,-2.131,-0.0827,1.0081,386,10.192,800.27,124.71,68.59
1680,56.138,-1.545,-2.221,-0.0354,1.0071,389,9.616,727.77,124.5,68.56
1681,56.172,-1.295,-2.209,-0.0265,1.0064,391,9.316,677.82,124.28,68.55
1682,56.205,-0.908,-2.034,-0.0173,1.0057,389,9.115,646.65,123.93,68.56
1683,56.239,-0.499,-1.917,0.003,1.0049,400,9.123,736.2,123.15,68.58
1684,56.272,-0.236,-1.996,0.0225,1.0044,399,8.336,708.22,122.8,68.53
1685,56.305,0.244,-1.91,0.0398,1.0035,400,7.813,663.94,122.38,68.57
1686,56.339,0.703,-1.686,0.0448,1.0027,400,7.376,623.85,121.92,68.54
1687,56.372,0.988,-1.651,0.0593,1.0023,400,7.784,691.54,120.99,68.49
1688,56.406,1.118,-1.702,0.0666,1.0022,399,7.647,677.41,120.34,68.5
1689,56.439,1.362,-1.832,0.0847,1.0021,400,7.664,650.94,119.85,68.55
1690,56.473,1.607,-1.732,0.0941,1.0017,400,8.042,713.88,118.69,68.52
1691,56.506,1.774,-1.703,0.0888,1.0016,400,9.084,755.32,117.43,68.58
1692,56.539,1.993,-1.886,0.0997,1.0017,398,9.384,710.16,116.77,68.53
1693,56.573,2.221,-1.94,0.1101,1.0016,400,9.579,677.13,116.07,68.59
1694,56.606,2.358,-1.945,0.122,1.0018,400,9.493,656.99,115.49,68.61
1695,56.64,2.361,-2.182,0.1307,1.0022,400,10.299,817.84,114.25,68.69
1696,56.673,2.244,-2.173,0.1307,1.0021,400,9.872,878.79,113.38,68.71
1697,56.706,3.804,-2.311,0.1905,1.0029,399,13.143,827.13,112.66,68.71
1698,56.74,4.95,-2.159,0.2256,1.003,395,14.726,772.07,111.86,68.71
1699,56.773,5.548,-2.227,0.2451,1.0034,397,15.506,731.42,110.86,68.82
1700,56.807,5.824,-2.351,0.251,1.0037,394,15.965,850.37,109.49,68.92
1701,56.84,6.212,-2.398,0.2456,1.0036,397,16.154,792.86,108.4,68.96
1702,56.874,6.481,-2.216,0.2406,1.0033,396,16.262,735.27,107.24,68.95
1703,56.907,6.51,-2.368,0.2538,1.0035,396,16.024,715.45,106.1,68.92
1704,56.94,6.615,-2.538,0.2654,1.0036,391,15.931,787.63,104.92,68.93
1705,56.974,7.127,-2.483,0.2946,1.0035,353,15.936,751.34,103.82,68.89
1706,57.007,6.704,-2.227,0.2621,1.0034,392,15.731,695.77,102.78,68.84
1707,57.041,6.642,-2.564,0.2743,1.004,387,15.451,653.21,101.8,68.75
1708,57.074,6.701,-2.69,0.2892,1.0041,396,15.302,729.53,100.86,68.72
1709,57.107,6.929,-2.704,0.3062,1.004,394,15.501,729.59,100.18,68.83
1710,57.141,7.089,-2.762,0.3216,1.0042,399,15.248,693.68,99.39,68.77
1711,57.174,6.979,-2.883,0.3169,1.0045,393,15.119,632.6,98.5,68.65
1712,57.208,7.243,-3.212,0.3522,1.005,396,15.046,616.51,97.68,68.64
1713,57.241,7.437,-3.211,0.357,1.0049,396,15.283,767.64,97.11,68.89
1714,57.275,7.482,-3.439,0.3661,1.0054,393,15.225,732.67,96.35,68.78
1715,57.308,7.664,-3.676,0.3878,1.0055,396,14.96,661.67,95.65,68.83
1716,57.341,7.917,-3.773,0.3972,1.0053,394,14.835,660.84,94.96,68.79
1717,57.375,7.904,-3.747,0.3862,1.0054,397,14.751,740.55,94.33,68.86
